2021-09-10 14:32:55,973 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 16 was determined to be 125221.5771, output is 125221.578125
2021-09-10 14:32:55,973 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125844.4662
2021-09-10 14:32:55,973 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 17 was determined to be 125844.4662, output is 125844.46875
2021-09-10 14:32:55,973 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125573.1606
2021-09-10 14:32:55,973 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 18 was determined to be 125573.1606, output is 125573.1640625
2021-09-10 14:32:55,973 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 126135.9978
2021-09-10 14:32:55,974 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 19 was determined to be 126135.9978, output is 126136
2021-09-10 14:32:55,974 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125585.7536
2021-09-10 14:32:55,974 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 20 was determined to be 125585.7536, output is 125585.75
2021-09-10 14:32:55,974 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125655.0601
2021-09-10 14:32:55,974 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 21 was determined to be 125655.0601, output is 125655.0625
2021-09-10 14:32:55,975 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125604.6478
2021-09-10 14:32:55,975 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 22 was determined to be 125604.6478, output is 125604.6484375
2021-09-10 14:32:55,975 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125497.6556
2021-09-10 14:32:55,975 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 23 was determined to be 125497.6556, output is 125497.65625
2021-09-10 14:32:55,975 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125636.1507
2021-09-10 14:32:55,975 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 24 was determined to be 125636.1507, output is 125636.1484375
2021-09-10 14:32:55,976 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125598.3491
2021-09-10 14:32:55,976 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 25 was determined to be 125598.3491, output is 125598.3515625
2021-09-10 14:32:55,976 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125692.8958
2021-09-10 14:32:55,976 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 26 was determined to be 125692.8958, output is 125692.8984375
2021-09-10 14:32:55,976 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125926.7192
2021-09-10 14:32:55,976 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 27 was determined to be 125926.7192, output is 125926.71875
2021-09-10 14:32:55,976 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125359.4647
2021-09-10 14:32:55,977 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 28 was determined to be 125359.4647, output is 125359.4609375
2021-09-10 14:32:55,977 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 126047.1282
2021-09-10 14:32:55,977 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 29 was determined to be 126047.1282, output is 126047.125
2021-09-10 14:32:55,977 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - the tryAgain flag was successfully set to false
2021-09-10 14:32:55,977 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - sending command
2021-09-10 14:32:58,978 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - resetting input buffer
2021-09-10 14:32:58,978 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - sending command: 0
